Process,ActUnit,CapUnit
SMETERELC00,GW,PJ_a
SMAINPHYG01,PJ,PJ_a
SMAINPGAS01,PJ,PJ_a
SMAINPGAS00,PJ,PJ_a
SLOTELED01,M-Units,M-Units_a
SLOTELED00,M-Units,M-Units_a
SLOTECCL01,M-Units,M-Units_a
SLOTECCL00,M-Units,M-Units_a
SLOFELED01,M-Units,M-Units_a
SLOFELED00,M-Units,M-Units_a
SLOFEFLU01,M-Units,M-Units_a
SLOFEFLU00,M-Units,M-Units_a
SHYGNGA01,PJ,PJ_a
SHLSTGNT01,PJ,PJ_a
SHLSTGNT00,PJ,PJ_a
SHLSHTRO00,PJ,PJ_a
SHLSHTRG00,PJ,PJ_a
SHLSHTRE01,PJ,PJ_a
SHLSHTRE00,PJ,PJ_a
SHLREFCG01,PJ,PJ_a
SHLNSTRE01,PJ,PJ_a
SHLNSTRE00,PJ,PJ_a
SHLGHSUE01,PJ,PJ_a
SHLGHSRE01,PJ,PJ_a
SHLGHPUE01,PJ,PJ_a
SHLGHPRE01,PJ,PJ_a
SHLGHBUE01,PJ,PJ_a
SHLGHBRE01,PJ,PJ_a
SHLDUND01,PJ,PJ_a
SHLDSTD01,PJ,PJ_a
SHLDSTD00,PJ,PJ_a
SHLDRAD01,PJ,PJ_a
SHLDRAD00,PJ,PJ_a
SHLDHP101,PJ,PJ_a
SHLDHP100,PJ,PJ_a
SHLCHPRW01,PJ,GW
SHLCHPRH01,PJ,GW
SHLCHPRG01,PJ,GW
SHLCHBRH01,PJ,PJ_a
SHLBLSRW01,PJ,PJ_a
SHLBLSRP01,PJ,PJ_a
SHLBLSRO01,PJ,PJ_a
SHLBLSRH01,PJ,PJ_a
SHLBLSRG01,PJ,PJ_a
SHLBLSRE01,PJ,PJ_a
SHLBLRRW01,PJ,PJ_a
SHLBLRRW00,PJ,PJ_a
SHLBLRRO00,PJ,PJ_a
SHLBLRRG00,PJ,PJ_a
SHLBLRRE01,PJ,PJ_a
SHLBLRRE00,PJ,PJ_a
SHLBLRRC00,PJ,PJ_a
SHLBLCRP01,PJ,PJ_a
SHLBLCRO01,PJ,PJ_a
SHLBLCRO00,PJ,PJ_a
SHLBLCRH01,PJ,PJ_a
SHLBLCRG01,PJ,PJ_a
SHLBLCRG00,PJ,PJ_a
SHLAHSUE01,PJ,PJ_a
SHLAHSRE01,PJ,PJ_a
SHLAHPUE01,PJ,PJ_a
SHLAHPRE01,PJ,PJ_a
SHLAHPRE00,PJ,PJ_a
SHLAHBUE01,PJ,PJ_a
SHLAHBRE01,PJ,PJ_a
SHHVACAE02,PJ,PJ_a
SHHVACAE01,PJ,PJ_a
SHHVACAE00,PJ,PJ_a
SHHFCLRH01,PJ,GW
SHHDRAD01,PJ,PJ_a
SHHDRAD00,PJ,PJ_a
SHHDHP101,PJ,PJ_a
SHHDHP100,PJ,PJ_a
SHHDAIR01,PJ,PJ_a
SHHDAIR00,PJ,PJ_a
SHHBLRRW01,PJ,PJ_a
SHHBLRRW00,PJ,PJ_a
SHHBLRRO01,PJ,PJ_a
SHHBLRRO00,PJ,PJ_a
SHHBLRRH01,PJ,PJ_a
SHHBLRRG01,PJ,PJ_a
SHHBLRRG00,PJ,PJ_a
SHHBLRRE01,PJ,PJ_a
SHHBLRRE00,PJ,PJ_a
SHHBLRRC01,PJ,PJ_a
SHHBLRRC00,PJ,PJ_a
SHHA-CAE02,PJ,PJ_a
SHHA-CAE01,PJ,PJ_a
SHHA-CAE00,PJ,PJ_a
SERWOD01,PJ,PJ_a
SERWOD00,PJ,PJ_a
SERSOL01,PJ,PJ_a
SERPELH01,PJ,PJ_a
SERNGA01,PJ,PJ_a
SERNGA00,PJ,PJ_a
SERMSWORG01,PJ,PJ_a
SERMSWORG00,PJ,PJ_a
SERMSWINO01,PJ,PJ_a
SERMSWINO00,PJ,PJ_a
SERMSWBIO01,PJ,PJ_a
SERLPG01,PJ,PJ_a
