Process,ActUnit,CapUnit
EXPNGA-IRE,PJ,PJ_a
EXPNGA-EU,PJ,PJ_a
EXPNGA-E,PJ,PJ_a
EXPETH,PJ,PJ_a
EXPELC-IRE,PJ,PJ_a
EXPELC-EU,PJ,PJ_a
EXPCOK,PJ,PJ_a
EXPCOA-E,PJ,PJ_a
EXPCOA,PJ,PJ_a
EWNDONS901,PJ,GW
EWNDONS801,PJ,GW
EWNDONS701,PJ,GW
EWNDONS601,PJ,GW
EWNDONS501,PJ,GW
EWNDONS401,PJ,GW
EWNDONS301,PJ,GW
EWNDONS201,PJ,GW
EWNDONS101,PJ,GW
EWNDONS00,PJ,GW
EWNDOFF301,PJ,GW
EWNDOFF201,PJ,GW
EWNDOFF101,PJ,GW
EWNDOFF00,PJ,GW
EWAV101,PJ,GW
ETRANSGAS01,PJ,PJ_a
ETRANSGAS00,PJ,PJ_a
ETNM01,PJ,GW
ETNM00,PJ,GW
ETIS101,PJ,GW
ETIR101,PJ,GW
ETIB101,PJ,GW
ESTWWST01,PJ,GW
ESTWWST00,PJ,GW
ESTGCAES01,PJ,GW
ESTGBRF01,PJ,GW
ESTGBNAS01,PJ,GW
ESTGBALA01,PJ,GW
ESTGAACAES01,PJ,GW
ESOLPV01,PJ,GW
ESOLPV00,PJ,GW
ESOL01,PJ,GW
ESOL00,PJ,GW
EPOLWST00,PJ,GW
EOILS01,PJ,GW
EOILS00,PJ,GW
EOILL01,PJ,GW
EOILL00,PJ,GW
ENUCPWR102,PJ,GW
ENUCPWR101,PJ,GW
ENUCPWR00,PJ,GW
ENUCAGRO00,PJ,GW
ENUCAGRN00,PJ,GW
ENGAQR01,PJ,GW
ENGAOCT01,PJ,GW
ENGAOCT00,PJ,GW
ENGACCTRR01,PJ,GW
ENGACCTQDEMO01,PJ,GW
ENGACCTQ01,PJ,GW
ENGACCT00,PJ,GW
EMSW01,PJ,GW
EMSW00,PJ,GW
EMANOCT01,PJ,GW
EMANOCT00,PJ,GW
EMAINPGAS01,PJ,PJ_a
EMAINPGAS00,PJ,PJ_a
ELCWNDONS01,PJ,PJ_a
ELCWNDONS00,PJ,PJ_a
ELCWNDOFS01,PJ,PJ_a
ELCWNDOFS00,PJ,PJ_a
ELCWAV01,PJ,PJ_a
ELCURN01,PJ,PJ_a
ELCURN00,PJ,PJ_a
ELCTID01,PJ,PJ_a
ELCSTWWST01,PJ,PJ_a
ELCSTWWST00,PJ,PJ_a
ELCSOL01,PJ,PJ_a
ELCSOL00,PJ,PJ_a
ELCPOLWST01,PJ,PJ_a
ELCPOLWST00,PJ,PJ_a
ELCPELL01,PJ,PJ_a
ELCPELL00,PJ,PJ_a
ELCPELH01,PJ,PJ_a
ELCNGA01,PJ,PJ_a
ELCNGA00,PJ,PJ_a
ELCMSWORG01,PJ,PJ_a
ELCMSWORG00,PJ,PJ_a
ELCMSWINO01,PJ,PJ_a
ELCMSWINO00,PJ,PJ_a
ELCMSC01,PJ,PJ_a
ELCMSC00,PJ,PJ_a
ELCLPG01,PJ,PJ_a
ELCLPG00,PJ,PJ_a
ELCLFO01,PJ,PJ_a
ELCLFO00,PJ,PJ_a
ELCII01,PJ,PJ_a
ELCII00,PJ,PJ_a
ELCIE01,PJ,PJ_a
ELCIE00,PJ,PJ_a
ELCHYGI01,PJ,PJ_a
ELCHYGD01,PJ,PJ_a
ELCHYG01,PJ,PJ_a
ELCHYD01,PJ,PJ_a
ELCHYD00,PJ,PJ_a
ELCHFO01,PJ,PJ_a
ELCHFO00,PJ,PJ_a
ELCGEO01,PJ,PJ_a
ELCGEO00,PJ,PJ_a
ELCEI01,PJ,PJ_a
ELCEI00,PJ,PJ_a
ELCEE01,PJ,PJ_a
ELCEE00,PJ,PJ_a
ELCCOG01,PJ,PJ_a
ELCCOG00,PJ,PJ_a
ELCCOA01,PJ,PJ_a
ELCCOA00,PJ,PJ_a
ELCBOM01,PJ,PJ_a
ELCBOM00,PJ,PJ_a
ELCBOG-SW01,PJ,PJ_a
ELCBOG-SW00,PJ,PJ_a
ELCBOG-LF01,PJ,PJ_a
ELCBOG-LF00,PJ,PJ_a
ELCBOG-AD01,PJ,PJ_a
ELCBIOOIL01,PJ,PJ_a
ELCBIOLFO01,PJ,PJ_a
ELCBIOCOA01,PJ,GW
ELCBFG01,PJ,PJ_a
ELCBFG00,PJ,PJ_a
EHYGOCT01,PJ,GW
EHYGCCT01,PJ,GW
EHYDPMP01,PJ,GW
EHYDPMP00,PJ,GW
EHYD01,PJ,GW
EHYD00,PJ,GW
EHFOIGCCQ01,PJ,GW
EHFOIGCC01,PJ,GW
EGEO01,PJ,GW
ECOARR01,PJ,GW
ECOAQR01,PJ,GW
ECOAQDEMO01,PJ,GW
ECOAQ01,PJ,GW
ECOABIO00,PJ,GW
ECOA00,PJ,GW
ECAESTUR01,PJ,GW
ECAESCON01,PJ,GW
EBOG-SWE01,PJ,GW
EBOG-SWE00,PJ,GW
EBOG-LFE01,PJ,GW
EBOG-LFE00,PJ,GW
EBOG-ADE01,PJ,GW
EBIOS00,PJ,GW
EBIOQ01,PJ,GW
EBIO01,PJ,GW
CCSSOS01,ktCO2,ktCO2_a
CCSSNS01,ktCO2,ktCO2_a
CCSSAQ01,ktCO2,ktCO2_a
CCSPIP01,kt,ktCO2_a
ATRA01,PJ,PJ_a
ATRA00,PJ,PJ_a
AMAINPHYG01,PJ,PJ_a
AMAINPGAS01,PJ,PJ_a
AMAINPGAS00,PJ,PJ_a
ALUFOR01,Mha,Mha_a
ALU01,Mha,Mha_a
ALU00,Mha,Mha_a
AHTBLRO01,PJ,PJ_a
AHTBLRO00,PJ,PJ_a
AHTBLRH01,PJ,PJ_a
AHTBLRG01,PJ,PJ_a
AHTBLRG00,PJ,PJ_a
AHTBLRC00,PJ,PJ_a
AHTBLRB01,PJ,PJ_a
AHTBLRB00,PJ,PJ_a
AGRPOLWST01,PJ,PJ_a
AGRPOLWST00,PJ,PJ_a
AGRNGA01,PJ,PJ_a
AGRNGA00,PJ,PJ_a
AGRLPG01,PJ,PJ_a
AGRLPG00,PJ,PJ_a
AGRLFO01,PJ,PJ_a
AGRLFO00,PJ,PJ_a
AGRLAND01,Mha,Mha_a
AGRLAND00,Mha,Mha_a
AGRHYG01,PJ,PJ_a
AGRHFO01,PJ,PJ_a
AGRHFO00,PJ,PJ_a
AGRGRASS01,PJ,PJ_a
AGRGRASS00,PJ,PJ_a
AGRELC01,PJ,PJ_a
AGRELC00,PJ,PJ_a
AGRCOA00,PJ,PJ_a
AGRBOM01,PJ,PJ_a
AGRBIOLPG01,PJ,PJ_a
AGRBIODST01,PJ,PJ_a
AGDMANION01,kt,kt_a
AGDBST01,kt,kt_a
AGBGENION01,kt,kt_a
AELC01,PJ,PJ_a
AELC00,PJ,PJ_a
ADISTELC01,GW,PJ_a
ADISTELC00,GW,PJ_a
ACTILLAGE01,kt,kt_a
ACNINHIBIT01,kt,kt_a
ACNEWSPEC01,kt,kt_a
ACFERT01,kt,kt_a
ACDRAIN01,kt,kt_a
ACCOMPOST01,kt,kt_a
